OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species,,
OTU_41,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__,g__,s__methanogenic_archaeon_mixed_culture_ISO4-G1,,
OTU_42,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__,g__,s__methanogenic_archaeon_mixed_culture_ISO4-G11,,
OTU_43,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__,g__,s__methanogenic_archaeon_WGK1,,
OTU_44,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocalculaceae,g__,s__,,
OTU_45,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__,s__,,
OTU_46,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,s__,,
OTU_47,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,s__Methanocorpusculum_labreanum,,
OTU_48,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,s__Methanocorpusculum_sp._MSP,,
OTU_49,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,g__,s__,,
OTU_50,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,g__Methanoculleus,s__,,
OTU_51,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,g__Methanoculleus,s__Methanoculleus_sp._CAG,,
OTU_52,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,g__Methanomicrobium,s__,,
OTU_53,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,g__Methanomicrobium,s__Methanomicrobium_mobile,,
OTU_54,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,g__Methanolinea,s__,,
OTU_55,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,g__Methanoregula,s__,,
OTU_56,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanospirillaceae,g__,s__,,
OTU_57,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanospirillaceae,g__Methanospirillum,s__,,
OTU_58,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__,g__,s__,,
OTU_59,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__,s__,,
OTU_60,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanimicrococcus,s__,,
OTU_61,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanolobus,s__,,
OTU_62,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__,f__,g__,s__,,
OTU_63,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__,f__,g__,s__methanogenic_archaeon_ISO4-H5,,
